country,iso2,iso3,cases,project,wikidata_id,page_title,page_id,date,pct_pageviews,pageviews,pageviews_ceil
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-04,3.201131113645833e-7,902,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-02-04,6.061565346016721e-7,1708,2817754000
United States,US,USA,0,en.wikipedia,Q1292082,Sore throat,310094,2022-02-04,1.6183101860559865e-7,456,2817754000
United States,US,USA,0,en.wikipedia,Q101971,Wart,34049,2022-02-04,1.6041144826695305e-7,452,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-05,2.239372209213438e-7,631,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-05,3.055625153934659e-7,861,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-06,2.029985584263211e-7,572,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-06,2.40972064985091e-7,679,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-06,2.49844379601626e-7,704,2817754000
United States,US,USA,0,en.wikipedia,Q101971,Wart,34049,2022-02-06,1.6112123343627586e-7,454,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-07,1.7780118491536166e-7,501,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-07,2.917217045916713e-7,822,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-07,3.0059401920820624e-7,847,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-02-07,6.817486551345504e-7,1921,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-08,2.069023768575965e-7,583,2817754000
United States,US,USA,0,en.wikipedia,Q38933,Fever,46253,2022-02-08,1.788658626693459e-7,504,2817754000
United States,US,USA,0,en.wikipedia,Q101971,Wart,34049,2022-02-08,1.6254080377492146e-7,458,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-09,2.761064308665696e-7,778,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-09,3.935758763894932e-7,1109,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-09,9.4259470486068e-7,2656,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-10,2.072572694422579e-7,584,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-10,3.6482957703191977e-7,1028,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Herpes zoster,443800,2022-02-10,5.830885165986811e-7,1643,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-10,9.983128406525197e-7,2813,2817754000
United States,US,USA,0,en.wikipedia,Q101971,Wart,34049,2022-02-10,1.6183101860559865e-7,456,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-11,1.870283921165581e-7,527,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-11,3.825742062649898e-7,1078,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-02-11,5.724417390588391e-7,1613,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-11,5.834434091833425e-7,1644,2817754000
United States,US,USA,0,en.wikipedia,Q101971,Wart,34049,2022-02-11,1.6502505186755125e-7,465,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-12,2.682987940040188e-7,756,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-12,3.0698208573211144e-7,865,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-02-12,6.015429310010739e-7,1695,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-12,6.033173939243809e-7,1700,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-13,2.2748614676795777e-7,641,2817754000
United States,US,USA,0,en.wikipedia,Q38933,Fever,46253,2022-02-13,1.919968883018177e-7,541,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-13,2.3919760206178397e-7,674,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-02-13,5.468894729632183e-7,1541,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-13,8.237056889991107e-7,2321,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-14,1.6892887029882665e-7,476,2817754000
