country,iso2,iso3,project,wikidata_id,page_id,page_title,date,roll_pct_pageviews,roll_cases,roll_n_articles,roll_n_studies
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-10-10,1.1297775412345398e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q113480445,16057614,ACAM2000,2022-10-11,1.55202758608321e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-10-11,1.821538408174485e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-10-11,1.55202758608321e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-10-11,1.55202758608321e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-10-11,1.55202758608321e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-10-11,1.55202758608321e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-10-11,2.294537291552225e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-10-11,1.8609549817892965e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q182155,443800,Herpes zoster,2022-10-11,1.55202758608321e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-10-11,1.55202758608321e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-10-11,1.55202758608321e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q948421,1548205,Poxviridae,2022-10-11,1.55202758608321e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q941770,2161913,Proctitis,2022-10-11,1.55202758608321e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q182155,443800,Shingles,2022-10-11,3.353365000280104e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q12214,16829895,Smallpox,2022-10-11,4.954170596211643e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q1122485,32134,Urethritis,2022-10-11,1.55202758608321e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q101971,34049,Wart,2022-10-11,1.6205138827389454e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-10-11,1.414069578431369e-7,78.28571428571429,1.4285714285714284,10.142857142857142
United States,US,USA,en.wikipedia,Q113480445,16057614,ACAM2000,2022-10-12,1.55202758608321e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-10-12,1.8264654798763365e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-10-12,1.55202758608321e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-10-12,1.55202758608321e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-10-12,1.55202758608321e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-10-12,1.55202758608321e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-10-12,2.3300122078055557e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-10-12,1.9452079078909566e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q182155,443800,Herpes zoster,2022-10-12,1.55202758608321e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-10-12,1.55202758608321e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-10-12,1.55202758608321e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q948421,1548205,Poxviridae,2022-10-12,1.55202758608321e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q941770,2161913,Proctitis,2022-10-12,1.55202758608321e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q182155,443800,Shingles,2022-10-12,3.353365000280104e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q12214,16829895,Smallpox,2022-10-12,5.502553676627711e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q1122485,32134,Urethritis,2022-10-12,1.55202758608321e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q101971,34049,Wart,2022-10-12,1.650076312950054e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-10-12,1.377116540667483e-7,76.42857142857143,1,10.857142857142858
United States,US,USA,en.wikipedia,Q113480445,16057614,ACAM2000,2022-10-13,1.55202758608321e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-10-13,1.8264654798763365e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-10-13,1.55202758608321e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-10-13,1.55202758608321e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-10-13,1.55202758608321e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-10-13,1.55202758608321e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-10-13,2.503445131710727e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-10-13,1.9452079078909566e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q182155,443800,Herpes zoster,2022-10-13,1.55202758608321e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-10-13,1.55202758608321e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-10-13,1.55202758608321e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q948421,1548205,Poxviridae,2022-10-13,1.55202758608321e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q941770,2161913,Proctitis,2022-10-13,1.55202758608321e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q182155,443800,Shingles,2022-10-13,3.353365000280104e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q12214,16829895,Smallpox,2022-10-13,5.502553676627711e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q1122485,32134,Urethritis,2022-10-13,1.55202758608321e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q101971,34049,Wart,2022-10-13,1.650076312950054e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-10-13,1.7111720020530122e-7,70.42857142857143,0.8571428571428571,10.285714285714286
United States,US,USA,en.wikipedia,Q113480445,16057614,ACAM2000,2022-10-14,1.55202758608321e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-10-14,1.8437102308328164e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-10-14,1.55202758608321e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-10-14,1.55202758608321e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-10-14,1.55202758608321e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-10-14,1.55202758608321e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-10-14,2.533007561921836e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-10-14,1.872287246703555e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q182155,443800,Herpes zoster,2022-10-14,1.55202758608321e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-10-14,1.55202758608321e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-10-14,1.55202758608321e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q948421,1548205,Poxviridae,2022-10-14,1.55202758608321e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q941770,2161913,Proctitis,2022-10-14,1.55202758608321e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q182155,443800,Shingles,2022-10-14,3.8973137161645055e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q12214,16829895,Smallpox,2022-10-14,5.507973455499748e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q1122485,32134,Urethritis,2022-10-14,1.55202758608321e-7,68.42857142857143,0.5714285714285715,10
United States,US,USA,en.wikipedia,Q101971,34049,Wart,2022-10-14,1.650076312950054e-7,68.42857142857143,0.5714285714285715,10
