country,iso3,date,cases
Bahamas,BHS,2023-12-20,0
Bahamas,BHS,2023-12-27,0
Bahamas,BHS,2024-01-03,0
Bahamas,BHS,2024-01-10,0
Bahamas,BHS,2024-01-17,0
Bahamas,BHS,2024-01-24,0
Bahamas,BHS,2024-01-31,0
Bahamas,BHS,2024-02-07,0
Bahamas,BHS,2024-02-14,0
Bahamas,BHS,2024-02-21,0
Bahamas,BHS,2024-02-28,0
Bahrain,BHR,2022-09-21,1
Bahrain,BHR,2022-09-28,0
Bahrain,BHR,2022-10-05,0
Bahrain,BHR,2022-10-12,0
Bahrain,BHR,2022-10-19,0
Bahrain,BHR,2022-10-26,0
Bahrain,BHR,2022-11-02,0
Bahrain,BHR,2022-11-09,0
Bahrain,BHR,2022-11-16,0
Bahrain,BHR,2022-11-23,0
Bahrain,BHR,2022-11-30,0
Bahrain,BHR,2022-12-07,0
Bahrain,BHR,2022-12-14,0
Bahrain,BHR,2022-12-21,0
Bahrain,BHR,2022-12-28,0
Bahrain,BHR,2023-01-04,0
Bahrain,BHR,2023-01-11,0
Bahrain,BHR,2023-01-18,0
Bahrain,BHR,2023-01-25,0
Bahrain,BHR,2023-02-01,0
Bahrain,BHR,2023-02-08,0
Bahrain,BHR,2023-02-15,0
Bahrain,BHR,2023-02-22,0
Bahrain,BHR,2023-03-01,0
Bahrain,BHR,2023-03-08,0
Bahrain,BHR,2023-03-15,0
Bahrain,BHR,2023-03-22,0
Bahrain,BHR,2023-03-29,0
Bahrain,BHR,2023-04-05,0
Bahrain,BHR,2023-04-12,0
Bahrain,BHR,2023-04-19,1
Barbados,BRB,2022-07-20,1
Barbados,BRB,2022-07-27,0
Barbados,BRB,2022-08-03,0
Barbados,BRB,2022-08-10,0
Barbados,BRB,2022-08-17,0
Barbados,BRB,2022-08-24,0
Barbados,BRB,2022-08-31,0
Barbados,BRB,2022-09-07,0
Barbados,BRB,2022-09-14,0
Barbados,BRB,2022-09-21,0
Barbados,BRB,2022-09-28,0
Barbados,BRB,2022-10-05,0
Barbados,BRB,2022-10-12,0
Barbados,BRB,2022-10-19,0
Barbados,BRB,2022-10-26,0
Barbados,BRB,2022-11-02,0
Barbados,BRB,2022-11-09,0
Barbados,BRB,2022-11-16,0
Barbados,BRB,2022-11-23,0
Barbados,BRB,2022-11-30,0
Barbados,BRB,2022-12-07,0
Barbados,BRB,2022-12-14,0
Barbados,BRB,2022-12-21,0
Barbados,BRB,2022-12-28,0
Barbados,BRB,2023-01-04,0
Barbados,BRB,2023-01-11,0
Barbados,BRB,2023-01-18,0
Barbados,BRB,2023-01-25,0
Barbados,BRB,2023-02-01,0
Barbados,BRB,2023-02-08,0
Barbados,BRB,2023-02-15,0
Barbados,BRB,2023-02-22,0
Barbados,BRB,2023-03-01,0
Barbados,BRB,2023-03-08,0
Barbados,BRB,2023-03-15,0
Barbados,BRB,2023-03-22,0
Barbados,BRB,2023-03-29,0
Barbados,BRB,2023-04-05,0
Barbados,BRB,2023-04-12,0
Barbados,BRB,2023-04-19,0
Barbados,BRB,2023-04-26,0
Barbados,BRB,2023-05-03,0
