country_long,iso2,project,wikidata_id,page_title,page_id,date,pct_pageviews,pageviews,pageviews_ceil
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-02-06,1.8557333251944635e-6,5229,2817754000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-02-06,3.820917877983752e-6,3653,956053000
Hong Kong,HK,zh.wikipedia,Q12214,天花,1382,2022-02-06,9.316404302946267e-6,1028,110343000
Taiwan,TW,zh.wikipedia,Q12214,天花,1382,2022-02-06,2.1236301734227045e-06,499,234975000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-02-06,1.7886586266934588e-7,504,2817754000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-02-06,4.175507956093125e-6,978,234223000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-02-06,3.127668348620923e-6,8813,2817754000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-02-06,4.997548100499033e-6,3465,693340000
United States of America,US,en.wikipedia,Q182155,Herpes zoster,443800,2022-02-06,5.830885165986811e-7,1643,2817754000
Spain,ES,es.wikipedia,Q12214,Viruela,41754,2022-02-06,5.6887892032819565e-6,1187,208656000
Brazil,BR,pt.wikipedia,Q6473911,Herpes,114899,2022-02-06,1.0601524725491536e-5,2015,190067000
Germany,DE,de.wikipedia,Q1037810,Pockenimpfstoff,8841370,2022-02-06,7.110508552802377e-7,493,693340000
Nigeria,NG,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-06,1.8167934911398404e-5,690,37979000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-02-13,2.711309848402225e-6,1243,458450000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-02-13,2.1014221017105606e-6,1457,693340000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-13,4.964947259412993e-7,1399,2817754000
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-02-13,1.752459583057996e-6,4938,2817754000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-02-13,3.742342305254469e-6,10545,2817754000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-02-13,4.458130210286439e-6,3091,693340000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-02-13,9.376262086754202e-7,2642,2817754000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-02-13,1.9199688830181768e-7,541,2817754000
Hong Kong,HK,zh.wikipedia,Q12214,天花,1382,2022-02-13,1.8959064009497656e-5,2092,110343000
Taiwan,TW,zh.wikipedia,Q12214,天花,1382,2022-02-13,6.0729864879242475e-6,1427,234975000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-02-13,5.162893688948207e-6,4936,956053000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-02-13,2.6012519631046915e-6,1176,452090000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-02-13,3.339539221663779e-7,941,2817754000
United Kingdom,GB,en.wikipedia,Q182155,Herpes zoster,443800,2022-02-13,6.07257120354914e-7,458,754211000
Japan,JP,ja.wikipedia,Q182155,帯状疱疹,389447,2022-02-13,1.953866574342636e-6,1868,956053000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-13,4.1238518337654744e-7,1162,2817754000
United States of America,US,en.wikipedia,Q182155,Herpes zoster,443800,2022-02-13,5.774102352440986e-7,1627,2817754000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-02-13,4.7390734470995586e-6,1110,234223000
Brazil,BR,pt.wikipedia,Q6473911,Herpes,114899,2022-02-13,5.340222132195489e-6,1015,190067000
India,IN,en.wikipedia,Q12214,Smallpox,16829895,2022-02-13,8.737033311816012e-7,582,666130000
Italy,IT,it.wikipedia,Q182155,Herpes zoster,686619,2022-02-13,1.2409033599504523e-6,561,452090000
Germany,DE,de.wikipedia,Q1037810,Pockenimpfstoff,8841370,2022-02-13,6.490322208440304e-7,450,693340000
United Kingdom,GB,en.wikipedia,Q182155,Shingles,443800,2022-02-20,1.3046746865267146e-6,984,754211000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-02-20,2.955260045576485e-6,2049,693340000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-20,9.287538940588852e-7,2617,2817754000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-20,1.0242199993328019e-6,2886,2817754000
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-02-20,2.7720659787901997e-6,7811,2817754000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-02-20,2.533223269313077e-6,7138,2817754000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-02-20,1.984596301958635e-6,1376,693340000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-02-20,4.242442626088721e-6,4056,956053000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-02-20,6.253207341733878e-7,1762,2817754000
Hong Kong,HK,zh.wikipedia,Q12214,天花,1382,2022-02-20,4.186944346265735e-6,462,110343000
Taiwan,TW,zh.wikipedia,Q12214,天花,1382,2022-02-20,2.910947973188637e-6,684,234975000
Hong Kong,HK,zh.wikipedia,Q38933,发热,359651,2022-02-20,4.6219515510725645e-6,510,110343000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-27,1.730456242808989e-6,4876,2817754000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-27,2.2858631378040808e-6,6441,2817754000
Hong Kong,HK,zh.wikipedia,Q12214,天花,1382,2022-02-27,4.766953952674841e-6,526,110343000
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-02-27,1.6452820224902529e-6,4636,2817754000
Australia,AU,en.wikipedia,Q199615,Encephalitis,37636,2022-02-27,4.465985643031417e-6,950,212719000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-02-27,2.254277697769216e-6,6352,2817754000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-02-27,3.6180002573079108e-6,3459,956053000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-02-27,1.034866776872644e-6,2916,2817754000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-02-27,8.738139382702584e-6,4006,458450000
United Kingdom,GB,en.wikipedia,Q182155,Shingles,443800,2022-02-27,1.3099782421630022e-6,988,754211000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-02-27,5.3581215565234946e-06,3715,693340000
Spain,ES,es.wikipedia,Q12214,Viruela,41754,2022-02-27,4.802162410858063e-6,1002,208656000
United States of America,US,en.wikipedia,Q101971,Wart,34049,2022-02-27,1.7922075525400726e-7,505,2817754000
Hong Kong,HK,zh.wikipedia,Q38933,发热,359651,2022-02-27,2.3127883055563108e-5,2552,110343000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-02-27,1.518735396775031e-6,1053,693340000
United Kingdom,GB,en.wikipedia,Q12214,Smallpox,16829895,2022-02-27,6.549891210815011e-7,494,754211000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-03-06,4.170238255068213e-6,2019,484145000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-03-06,6.213750131099353e-6,4325,696037000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-03-06,1.5901126847257394e-6,4712,2963312000
Hong Kong,HK,zh.wikipedia,Q38933,发热,359651,2022-03-06,4.634331670691614e-6,616,132921000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-03-06,3.047266032061423e-6,9030,2963312000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-03-06,4.0687492187915296e-6,2832,696037000
United Kingdom,GB,en.wikipedia,Q182155,Shingles,443800,2022-03-06,3.0355085687487896e-6,2382,784712000
Hong Kong,HK,zh.wikipedia,Q12214,天花,1382,2022-03-06,3.6337373327013792e-6,483,132921000
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-03-06,3.0867488809818203e-6,9147,2963312000
Australia,AU,en.wikipedia,Q199615,Encephalitis,37636,2022-03-06,2.125335271639101e-5,5000,235257000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-03-06,1.77402851944041e-6,5257,2963312000
United States of America,US,en.wikipedia,Q208726,Genital wart,188665,2022-03-06,1.3471413067540644e-6,3992,2963312000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-03-06,5.408310516582523e-6,1278,236303000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-03-06,1.6251656697191937e-6,1572,967286000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-03-06,4.1372626304621315e-7,1226,2963312000
United States of America,US,en.wikipedia,Q101971,Wart,34049,2022-03-06,1.6670536210834364e-7,494,2963312000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-03-13,2.265850106889465e-6,1097,484145000
United States of America,US,en.wikipedia,Q208726,Genital wart,188665,2022-03-13,1.6687409223193507e-6,4945,2963312000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-03-13,5.4005749694340965e-6,3759,696037000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-03-13,1.2982095709125464e-6,3847,2963312000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-03-13,1.1878049149207734e-6,550,463039000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-03-13,1.570373188488203e-6,1519,967286000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-03-13,5.223884626391011e-7,1548,2963312000
United States of America,US,en.wikipedia,Q101971,Wart,34049,2022-03-13,1.7041742482735533e-7,505,2963312000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-03-13,4.494970492475986e-7,1332,2963312000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-03-13,1.759180268564363e-6,5213,2963312000
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-03-13,2.3379245924830057e-6,6928,2963312000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-03-13,1.351190829720259e-6,4004,2963312000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-03-13,1.530091072744696e-6,1065,696037000
Greece,GR,el.wikipedia,Q12214,Ευλογιά,124317,2022-03-13,1.6558694658745734e-5,616,37201000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-03-20,1.9663530553862995e-6,952,484145000
United States of America,US,en.wikipedia,Q208726,Genital wart,188665,2022-03-20,9.307153617303881e-7,2758,2963312000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-03-20,5.4910873990894166e-6,3822,696037000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-03-20,1.3690762228209516e-6,4057,2963312000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-03-20,1.9042881748530024e-6,5643,2963312000
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-03-20,1.978866889480419e-6,5864,2963312000
United States of America,US,en.wikipedia,Q86,Headache,69893,2022-03-20,1.5185711123229684e-7,450,2963312000
India,IN,hi.wikipedia,Q12214,चेचक,149708,2022-03-20,8.578813264165125e-6,468,54553000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-03-20,1.4419676362124541e-6,4273,2963312000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-03-20,3.4567127896936514e-6,2406,696037000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-03-20,3.338206073488089e-6,3229,967286000
Sweden,SE,sv.wikipedia,Q948421,Poxvirus,535095,2022-03-20,6.704968074754396e-6,503,75019000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-03-20,8.176661789241227e-7,2423,2963312000
United States of America,US,en.wikipedia,Q101971,Wart,34049,2022-03-20,3.070888249364225e-7,910,2963312000
United States of America,US,en.wikipedia,Q9690,Fatigue,235562,2022-03-20,1.5489425345694278e-7,459,2963312000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-03-20,1.3152239876122746e-6,609,463039000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-03-20,1.7480440804073281e-7,518,2963312000
United States of America,US,en.wikipedia,Q208726,Genital wart,188665,2022-03-27,1.65692981366795e-7,491,2963312000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-03-27,3.880540833317769e-6,2701,696037000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-03-27,8.507372831480452e-7,2521,2963312000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-03-27,1.0843858761321504e-6,525,484145000
Germany,DE,de.wikipedia,Q199615,Enzephalitis,335153,2022-03-27,9.597190953929174e-7,668,696037000
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-03-27,1.4689644559870847e-6,4353,2963312000
