country_long,iso2,project,wikidata_id,page_title,page_id,date,pct_pageviews,pageviews,pageviews_ceil
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-16,1.9864852355827086e-6,1073,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-16,2.7548209366391185e-6,978,355014000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-16,4.359259232539516e-6,2417,554452000
Germany,DE,de.wikipedia,Q152234,Ödem,42847,2022-01-16,6.328932208023388e-7,507,801083000
United States of America,US,en.wikipedia,Q40878,Diarrhea,53951,2022-01-16,4.3667245897804806e-7,1262,2890038000
Malaysia,MY,en.wikipedia,Q40878,Diarrhea,53951,2022-01-16,9.813330031266446e-6,634,64606000
Spain,ES,es.wikipedia,Q12214,Viruela,41754,2022-01-16,2.1817637793966698e-6,525,240631000
Germany,DE,de.wikipedia,Q186235,Myokarditis,335872,2022-01-16,1.153438532586511e-6,924,801083000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-16,8.110619998768182e-7,2344,2890038000
Malaysia,MY,zh.wikipedia,Q186235,心肌炎,5683695,2022-01-16,3.132860736336611e-5,548,17492000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-16,1.7488824503827943e-6,1401,801083000
United Kingdom,GB,en.wikipedia,Q40878,Diarrhea,53951,2022-01-17,6.322447032750499e-7,566,895223000
Austria,AT,de.wikipedia,Q12214,Pocken,4049,2022-01-17,5.603274341384678e-6,486,86735000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-17,1.9938905859483475e-6,1077,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-17,2.4477907913490735e-6,869,355014000
United Kingdom,GB,en.wikipedia,Q182155,Herpes zoster,443800,2022-01-17,5.361792536608197e-7,480,895223000
Brazil,BR,pt.wikipedia,Q12214,Varíola,68516,2022-01-17,3.171444231004592e-6,596,187927000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-17,2.375318332335351e-6,1317,554452000
United Kingdom,GB,en.wikipedia,Q186235,Myocarditis,452461,2022-01-17,1.0835289084395732e-6,970,895223000
United States of America,US,en.wikipedia,Q40878,Diarrhea,53951,2022-01-17,4.4290075078597584e-7,1280,2890038000
Malaysia,MY,en.wikipedia,Q40878,Diarrhea,53951,2022-01-17,9.240627805466984e-6,597,64606000
Australia,AU,en.wikipedia,Q186235,Myocarditis,452461,2022-01-17,3.437396085467045e-6,889,258626000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-17,8.909917447452248e-7,2575,2890038000
