country_long,iso2,project,page_title,date,pageviews
United States of America,US,en.wikipedia,Encephalitis,2022-01-15,605
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-15,881
United States of America,US,en.wikipedia,Herd immunity,2022-01-15,494
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-15,854
United States of America,US,en.wikipedia,Index case,2022-01-15,934
United States of America,US,en.wikipedia,Infection,2022-01-15,590
United States of America,US,en.wikipedia,Myocarditis,2022-01-15,5105
United States of America,US,en.wikipedia,Scabies,2022-01-15,866
United States of America,US,en.wikipedia,Sepsis,2022-01-15,2154
United States of America,US,en.wikipedia,Shingles,2022-01-15,1608
United States of America,US,en.wikipedia,Smallpox,2022-01-15,2679
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-15,1084
United States of America,US,en.wikipedia,Sore throat,2022-01-15,661
United States of America,US,en.wikipedia,Virus,2022-01-15,1281
United States of America,US,en.wikipedia,World Health Organization,2022-01-15,809
United States of America,US,en.wikipedia,Asymptomatic,2022-01-16,818
United States of America,US,en.wikipedia,Chickenpox,2022-01-16,813
United States of America,US,en.wikipedia,Diarrhea,2022-01-16,1262
United States of America,US,en.wikipedia,Encephalitis,2022-01-16,752
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-16,959
United States of America,US,en.wikipedia,Fever,2022-01-16,512
United States of America,US,en.wikipedia,Herd immunity,2022-01-16,468
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-16,698
United States of America,US,en.wikipedia,Index case,2022-01-16,985
United States of America,US,en.wikipedia,Infection,2022-01-16,534
United States of America,US,en.wikipedia,Myocarditis,2022-01-16,3691
United States of America,US,en.wikipedia,Scabies,2022-01-16,1004
United States of America,US,en.wikipedia,Sepsis,2022-01-16,2259
United States of America,US,en.wikipedia,Signs and symptoms,2022-01-16,494
United States of America,US,en.wikipedia,Smallpox,2022-01-16,2344
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-16,1018
United States of America,US,en.wikipedia,Sore throat,2022-01-16,618
United States of America,US,en.wikipedia,Virus,2022-01-16,1129
United States of America,US,en.wikipedia,World Health Organization,2022-01-16,1055
United States of America,US,en.wikipedia,Asymptomatic,2022-01-17,850
United States of America,US,en.wikipedia,Chickenpox,2022-01-17,753
United States of America,US,en.wikipedia,Diarrhea,2022-01-17,1280
United States of America,US,en.wikipedia,Encephalitis,2022-01-17,609
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-17,879
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-17,870
United States of America,US,en.wikipedia,Index case,2022-01-17,814
United States of America,US,en.wikipedia,Infection,2022-01-17,586
United States of America,US,en.wikipedia,Kaposi's sarcoma,2022-01-17,475
United States of America,US,en.wikipedia,Myocarditis,2022-01-17,3284
United States of America,US,en.wikipedia,Scabies,2022-01-17,1635
United States of America,US,en.wikipedia,Sepsis,2022-01-17,2262
United States of America,US,en.wikipedia,Skin condition,2022-01-17,470
United States of America,US,en.wikipedia,Smallpox,2022-01-17,2575
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-17,848
United States of America,US,en.wikipedia,Sore throat,2022-01-17,553
United States of America,US,en.wikipedia,Virus,2022-01-17,1214
United States of America,US,en.wikipedia,World Health Organization,2022-01-17,1037
United States of America,US,en.wikipedia,Asymptomatic,2022-01-18,1043
United States of America,US,en.wikipedia,Chickenpox,2022-01-18,780
United States of America,US,en.wikipedia,Diarrhea,2022-01-18,623
United States of America,US,en.wikipedia,Encephalitis,2022-01-18,628
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-18,1417
United States of America,US,en.wikipedia,Fever,2022-01-18,552
United States of America,US,en.wikipedia,Herd immunity,2022-01-18,480
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-18,843
United States of America,US,en.wikipedia,Index case,2022-01-18,508
United States of America,US,en.wikipedia,Infection,2022-01-18,618
United States of America,US,en.wikipedia,Kaposi's sarcoma,2022-01-18,542
United States of America,US,en.wikipedia,Myocarditis,2022-01-18,3167
United States of America,US,en.wikipedia,Scabies,2022-01-18,1438
United States of America,US,en.wikipedia,Sepsis,2022-01-18,2395
United States of America,US,en.wikipedia,Signs and symptoms,2022-01-18,466
United States of America,US,en.wikipedia,Smallpox,2022-01-18,2725
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-18,924
United States of America,US,en.wikipedia,Sore throat,2022-01-18,716
United States of America,US,en.wikipedia,Virus,2022-01-18,1538
United States of America,US,en.wikipedia,World Health Organization,2022-01-18,1183
United States of America,US,en.wikipedia,Asymptomatic,2022-01-19,1084
United States of America,US,en.wikipedia,Chickenpox,2022-01-19,823
United States of America,US,en.wikipedia,Conjunctivitis,2022-01-19,451
United States of America,US,en.wikipedia,Diarrhea,2022-01-19,606
United States of America,US,en.wikipedia,Encephalitis,2022-01-19,519
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-19,1355
United States of America,US,en.wikipedia,Fever,2022-01-19,508
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-19,818
United States of America,US,en.wikipedia,Index case,2022-01-19,624
United States of America,US,en.wikipedia,Infection,2022-01-19,720
United States of America,US,en.wikipedia,Kaposi's sarcoma,2022-01-19,568
United States of America,US,en.wikipedia,Myocarditis,2022-01-19,2950
United States of America,US,en.wikipedia,Scabies,2022-01-19,1015
United States of America,US,en.wikipedia,Sepsis,2022-01-19,2099
United States of America,US,en.wikipedia,Shingles,2022-01-19,1487
United States of America,US,en.wikipedia,Signs and symptoms,2022-01-19,629
United States of America,US,en.wikipedia,Smallpox,2022-01-19,2453
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-19,867
United States of America,US,en.wikipedia,Sore throat,2022-01-19,619
United States of America,US,en.wikipedia,Virus,2022-01-19,1403
United States of America,US,en.wikipedia,World Health Organization,2022-01-19,934
United States of America,US,en.wikipedia,Asymptomatic,2022-01-20,842
United States of America,US,en.wikipedia,Chickenpox,2022-01-20,718
United States of America,US,en.wikipedia,Conjunctivitis,2022-01-20,484
United States of America,US,en.wikipedia,Diarrhea,2022-01-20,507
United States of America,US,en.wikipedia,Encephalitis,2022-01-20,582
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-20,1145
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-20,716
United States of America,US,en.wikipedia,Index case,2022-01-20,679
United States of America,US,en.wikipedia,Infection,2022-01-20,613
United States of America,US,en.wikipedia,Kaposi's sarcoma,2022-01-20,527
United States of America,US,en.wikipedia,Myocarditis,2022-01-20,2676
United States of America,US,en.wikipedia,Scabies,2022-01-20,918
United States of America,US,en.wikipedia,Sepsis,2022-01-20,2374
United States of America,US,en.wikipedia,Shingles,2022-01-20,1509
United States of America,US,en.wikipedia,Signs and symptoms,2022-01-20,566
United States of America,US,en.wikipedia,Smallpox,2022-01-20,2361
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-20,838
United States of America,US,en.wikipedia,Sore throat,2022-01-20,633
United States of America,US,en.wikipedia,Virus,2022-01-20,1593
United States of America,US,en.wikipedia,World Health Organization,2022-01-20,969
United States of America,US,en.wikipedia,Asymptomatic,2022-01-21,738
United States of America,US,en.wikipedia,Chickenpox,2022-01-21,758
United States of America,US,en.wikipedia,Conjunctivitis,2022-01-21,467
United States of America,US,en.wikipedia,Diarrhea,2022-01-21,649
United States of America,US,en.wikipedia,Encephalitis,2022-01-21,641
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-21,762
United States of America,US,en.wikipedia,Fever,2022-01-21,535
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-21,765
United States of America,US,en.wikipedia,Index case,2022-01-21,736
United States of America,US,en.wikipedia,Infection,2022-01-21,553
United States of America,US,en.wikipedia,Myocarditis,2022-01-21,2450
United States of America,US,en.wikipedia,Scabies,2022-01-21,918
United States of America,US,en.wikipedia,Sepsis,2022-01-21,2389
United States of America,US,en.wikipedia,Shingles,2022-01-21,1444
United States of America,US,en.wikipedia,Signs and symptoms,2022-01-21,513
United States of America,US,en.wikipedia,Smallpox,2022-01-21,2132
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-21,758
United States of America,US,en.wikipedia,Sore throat,2022-01-21,524
United States of America,US,en.wikipedia,Virus,2022-01-21,1474
United States of America,US,en.wikipedia,World Health Organization,2022-01-21,1025
United States of America,US,en.wikipedia,Asymptomatic,2022-01-22,653
United States of America,US,en.wikipedia,Chickenpox,2022-01-22,709
United States of America,US,en.wikipedia,Clade,2022-01-22,497
United States of America,US,en.wikipedia,Diarrhea,2022-01-22,2386
United States of America,US,en.wikipedia,Encephalitis,2022-01-22,597
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-22,925
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-22,793
United States of America,US,en.wikipedia,Index case,2022-01-22,933
United States of America,US,en.wikipedia,Infection,2022-01-22,549
United States of America,US,en.wikipedia,Myocarditis,2022-01-22,3467
United States of America,US,en.wikipedia,Rubella,2022-01-22,549
United States of America,US,en.wikipedia,Scabies,2022-01-22,1000
United States of America,US,en.wikipedia,Sepsis,2022-01-22,2222
United States of America,US,en.wikipedia,Shingles,2022-01-22,1420
United States of America,US,en.wikipedia,Signs and symptoms,2022-01-22,463
United States of America,US,en.wikipedia,Smallpox,2022-01-22,1970
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-22,719
